ID;order_ID;action;done;createdAt;createdBy;modifiedAt;modifiedBy
773c87e6-9cca-4f7f-8a98-03e66a7b3e33;afcf0d73-7a89-4416-90b7-b30a47bff8b8;fix it;false;2020-01-01;admin;2020-01-01;admin
74c5ab8d-fbcd-49c1-9082-3adce21b50f0;afcf0d73-7a89-4416-90b7-b30a47bff8b8;fix it;false;2020-01-01;admin;2020-01-01;admin
dbd6cc29-16b5-4965-bd2e-b3ea7ec721e6;a03b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
666389bb-f350-414a-a13f-57d27ad43f42;b33b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
1fcf0d73-7a89-4416-90b7-b30a47bff8b8;afcf0d73-7a89-4416-90b7-b30a47bff8b8;fix it;false;2020-01-01;admin;2020-01-01;admin
2fcf0d73-7a89-4416-90b7-b30a47bff8b8;bfcf0d73-7a89-4416-90b7-b30a47bff8b8;fix it;false;2020-01-01;admin;2020-01-01;admin
3fcf0d73-7a89-4416-90b7-b30a47bff8b8;cfcf0d73-7a89-4416-90b7-b30a47bff8b8;fix it;false;2020-01-01;admin;2020-01-01;admin
403b1d97-2939-468d-a6ff-a19d657bcf92;b33b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
503b1d97-2939-468d-a6ff-a19d657bcf92;b03b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
513b1d97-2939-468d-a6ff-a19d657bcf92;a03b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
523b1d97-2939-468d-a6ff-a19d657bcf92;b03b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin
533b1d97-2939-468d-a6ff-a19d657bcf92;b33b1d97-2939-468d-a6ff-a19d657bcf92;fix it;false;2020-01-01;admin;2020-01-01;admin